date,open,high,low,close,volume
2020-01-01,100.00,100.09,99.76,99.81,1210595
2020-01-02,99.81,100.56,99.49,99.65,919798
2020-01-03,99.65,99.71,99.24,99.36,1349067
2020-01-06,99.36,100.42,98.99,100.37,695601
2020-01-07,100.37,101.43,100.35,100.77,968103
2020-01-08,100.77,102.34,100.61,101.60,1147108
2020-01-09,101.60,103.09,101.41,102.96,1074464
2020-01-10,102.96,104.78,102.67,104.20,545643
2020-01-13,104.20,104.52,99.68,100.14,1262803
2020-01-14,100.14,101.78,99.71,101.17,699339
2020-01-15,101.17,101.32,101.01,101.07,1245590
2020-01-16,101.07,102.24,100.74,102.06,1143547
2020-01-17,102.06,102.43,100.90,101.13,1149797
2020-01-20,101.13,102.32,100.37,100.79,670337
2020-01-21,100.79,102.70,100.53,101.98,1250745
2020-01-22,101.98,104.24,101.25,104.19,840377
2020-01-23,104.19,106.47,104.17,105.71,1075971
2020-01-24,105.71,106.09,104.94,105.24,1696422
2020-01-27,105.24,106.58,104.95,106.25,750525
2020-01-28,106.25,108.11,106.21,107.80,1224790
2020-01-29,107.80,107.96,105.68,106.66,675256
2020-01-30,106.66,106.89,105.16,105.79,994459
2020-01-31,105.79,106.32,105.21,106.23,1268006
2020-02-03,106.23,107.24,105.75,106.70,1114314
2020-02-04,106.70,108.71,105.66,108.70,892337
2020-02-05,108.70,111.39,108.42,111.33,661465
2020-02-06,111.33,112.12,110.66,111.11,1206665
2020-02-07,111.11,111.50,106.89,107.18,835022
2020-02-10,107.18,107.18,105.29,106.21,683469
2020-02-11,106.21,106.93,105.32,105.56,890724
2020-02-12,105.56,106.40,105.44,105.74,637114
2020-02-13,105.74,107.18,104.54,107.18,1084252
2020-02-14,107.18,110.12,107.11,109.41,1096943
2020-02-17,109.41,113.25,108.87,112.30,1177406
2020-02-18,112.30,115.33,112.28,114.92,843505
2020-02-19,114.92,115.03,112.70,112.80,1606080
2020-02-20,112.80,112.99,110.93,111.80,881361
2020-02-21,111.80,112.74,110.99,112.28,986755
2020-02-24,112.28,112.53,110.14,110.43,1147497
2020-02-25,110.43,111.05,109.25,109.30,1209947
2020-02-26,109.30,111.76,109.14,111.42,1645838
2020-02-27,111.42,112.03,111.36,111.86,1444830
2020-02-28,111.86,112.39,111.19,112.10,846142
2020-03-02,112.10,112.26,109.10,109.23,817596
2020-03-03,109.23,111.02,108.68,110.69,1155465
2020-03-04,110.69,111.51,110.14,110.39,986435
2020-03-05,110.39,110.68,108.93,109.19,826738
2020-03-06,109.19,110.44,108.80,109.88,1114267
2020-03-09,109.88,111.16,108.86,109.92,1208585
2020-03-10,109.92,109.97,108.41,109.45,997428
2020-03-11,109.45,113.41,109.26,113.16,852745
2020-03-12,113.16,113.19,111.86,112.02,1060747
2020-03-13,112.02,113.14,108.43,108.52,1522871
2020-03-16,108.52,108.68,105.22,106.91,739081
2020-03-17,106.91,107.20,104.30,104.54,1208002
2020-03-18,104.54,106.74,103.71,106.60,869491
2020-03-19,106.60,108.87,105.56,108.61,989484
2020-03-20,108.61,112.10,108.31,110.93,1092790
2020-03-23,110.93,111.39,108.87,108.89,1150959
2020-03-24,108.89,110.14,108.27,109.88,766665
2020-03-25,109.88,110.23,106.75,108.00,900016
2020-03-26,108.00,109.59,107.96,108.76,1300385
2020-03-27,108.76,109.17,107.78,108.14,1458200
2020-03-30,108.14,110.06,106.34,109.79,990297
2020-03-31,109.79,111.01,109.67,110.84,1694851
2020-04-01,110.84,114.18,110.62,113.38,1128500
2020-04-02,113.38,115.52,112.10,114.75,428089
2020-04-03,114.75,114.81,114.46,114.66,769097
2020-04-06,114.66,115.82,112.40,112.59,1111016
2020-04-07,112.59,114.75,112.48,114.30,1404778
2020-04-08,114.30,114.68,113.80,114.10,824556
2020-04-09,114.10,114.19,110.29,110.43,891320
2020-04-10,110.43,110.63,108.34,109.28,1011476
2020-04-13,109.28,109.60,108.44,108.48,620570
2020-04-14,108.48,108.51,107.31,108.31,1283042
2020-04-15,108.31,110.41,107.95,110.02,658185
2020-04-16,110.02,110.80,109.60,110.57,1599813
2020-04-17,110.57,112.60,110.26,111.54,877776
2020-04-20,111.54,111.84,111.32,111.58,388254
2020-04-21,111.58,112.01,108.96,109.67,1570945
2020-04-22,109.67,113.83,109.25,112.67,425112
2020-04-23,112.67,115.58,112.03,115.43,1602970
2020-04-24,115.43,117.69,115.26,116.58,780658
2020-04-27,116.58,117.08,115.78,116.81,573014
2020-04-28,116.81,118.47,116.33,117.40,1063194
2020-04-29,117.40,118.20,117.02,117.79,1029115
2020-04-30,117.79,118.83,115.70,116.16,949867
2020-05-01,116.16,116.62,114.38,115.09,956056
2020-05-04,115.09,116.02,114.73,115.92,965206
2020-05-05,115.92,117.39,115.43,117.28,1201715
2020-05-06,117.28,117.78,116.56,117.11,777778
2020-05-07,117.11,117.62,115.39,115.41,1471030
2020-05-08,115.41,119.41,114.52,119.40,885563
2020-05-11,119.40,120.28,119.15,119.30,1086083
2020-05-12,119.30,119.75,118.06,118.51,1536005
2020-05-13,118.51,119.00,118.04,118.26,1286303
2020-05-14,118.26,118.55,116.66,117.08,1224735
2020-05-15,117.08,119.90,116.42,119.58,762143
2020-05-18,119.58,120.29,118.41,118.90,1000629
2020-05-19,118.90,119.23,116.44,116.81,722834
2020-05-20,116.81,116.95,114.48,115.71,1108228
2020-05-21,115.71,116.39,115.11,116.05,1183432
2020-05-22,116.05,116.44,114.63,115.03,545177
2020-05-25,115.03,115.39,114.45,114.49,1063337
2020-05-26,114.49,115.23,114.36,114.58,905502
2020-05-27,114.58,115.00,112.24,112.54,1435242
2020-05-28,112.54,112.55,111.28,111.31,973716
2020-05-29,111.31,112.32,110.85,111.36,1195961
2020-06-01,111.36,114.56,111.18,113.28,989157
2020-06-02,113.28,114.43,112.30,113.33,1145730
2020-06-03,113.33,114.80,109.75,110.87,585469
2020-06-04,110.87,113.17,110.74,112.68,650946
2020-06-05,112.68,114.37,111.94,113.74,702068
2020-06-08,113.74,113.81,112.46,112.47,1427407
2020-06-09,112.47,113.39,112.16,112.71,828164
2020-06-10,112.71,114.19,112.64,113.97,1260882
2020-06-11,113.97,114.05,113.00,113.10,1458454
2020-06-12,113.10,113.30,112.38,112.97,1205815
2020-06-15,112.97,113.16,110.94,112.01,1312956
2020-06-16,112.01,112.44,109.22,109.80,599658
2020-06-17,109.80,109.84,109.16,109.70,1402879
2020-06-18,109.70,113.31,108.91,112.20,1242469
2020-06-19,112.20,112.42,109.97,110.04,1207555
2020-06-22,110.04,110.10,109.28,109.71,1387708
2020-06-23,109.71,109.89,108.65,108.93,1031897
2020-06-24,108.93,109.01,108.13,108.68,1238923
2020-06-25,108.68,111.16,108.29,111.02,1251420
2020-06-26,111.02,112.77,110.90,112.60,1259202
2020-06-29,112.60,113.30,112.59,112.75,433475
2020-06-30,112.75,113.01,112.05,112.77,1045383
2020-07-01,112.77,114.38,112.20,114.38,576586
2020-07-02,114.38,115.16,112.39,112.75,937715
2020-07-03,112.75,113.79,112.16,113.75,1318057
2020-07-06,113.75,113.90,112.38,112.68,513606
2020-07-07,112.68,114.53,112.68,113.85,852042
2020-07-08,113.85,117.11,113.75,115.75,1042985
2020-07-09,115.75,116.56,114.24,114.80,921652
2020-07-10,114.80,115.02,114.39,114.68,607540
2020-07-13,114.68,117.69,114.22,117.09,671699
2020-07-14,117.09,121.97,116.98,120.78,728733
2020-07-15,120.78,121.03,118.70,119.24,989736
2020-07-16,119.24,122.14,118.05,121.23,1470012
2020-07-17,121.23,122.08,118.85,119.01,690657
2020-07-20,119.01,120.55,118.44,118.58,1540856
2020-07-21,118.58,118.74,115.76,116.63,1191471
2020-07-22,116.63,117.76,116.15,116.27,888346
